game,category,name_en,name_zh,source,note
shared,ui,Path of Exile,流放之路,official,游戏名称
poe1,area,The Archives,档案室,official,第三章区域
poe1,area,Aspirants' Plaza,试炼者广场,official,迷宫入口区域
poe1,area,The Upper Sceptre of God,神权之塔上层,official,第三章区域
poe1,area,The Dried Lake,干涸湖岸,official,第四章区域
poe1,area,The Mines Level 1,漆黑矿坑 1 层,official,第四章区域
poe1,area,The Mines Level 2,漆黑矿坑 2 层,official,第四章区域
poe1,area,The Crystal Veins,水晶矿脉,official,第四章区域
poe1,area,The Grand Arena,大竞技场,official,第四章区域
poe1,area,The Belly of the Beast Level 1,巨兽沼泽 1 层,official,第四章区域
poe1,area,The Belly of the Beast Level 2,巨兽沼泽 2 层,official,第四章区域
poe1,boss,Voll,福尔,official,第四章 Boss 简称
poe1,area,Chamber of Sins,罪孽之殿,official,区域地图简称
poe1,area,Lunaris Temple,月影神殿,official,区域地图简称
poe1,area,Merveil's Caverns,海妖洞穴,official,第一章区域地图简称
poe1,area,The Prison,禁灵之狱,official,第一章区域地图简称
poe1,area,The Crypt (2),寂静陵墓 2 楼,official,第七章区域
poe1,area,Temple of Decay (2),坠欲之殿 2 层,official,第七章区域
poe1,area,Hidden Underbelly,隐秘腹地,official,第八章区域
poe1,area,Karui Shores,卡鲁海滩,official,尾声区域
poe1,boss,Casticus,审判长卡斯提克斯,official,第五章 Boss 简称
poe1,boss,Kitava,奇塔弗,official,第五章 Boss 简称
poe1,boss,Overseer Krow,监工头克劳,official,第五章 Boss
poe1,boss,The Dishonoured Queen,卡鲁长者,official,第六章 Boss
poe1,npc,Lilly,丽莉,official,NPC 简称
poe1,boss,Abberath,割裂者艾贝拉斯,official,第六章 Boss 简称
poe1,boss,Ryslatha,食腐虫后,official,第六章 Boss 简称
poe1,boss,Tsoagoth,惊海之王索亚格斯,official,第六章 Boss 简称
poe1,npc,Weylam,威勒姆,official,NPC 简称
poe1,boss,Maligaro,马雷格罗,official,第七章 Boss 简称
